id,model,name
81,AT43,Aerospatiale ATR-42-300
185,AT75,Aerospatiale ATR-72-500
166,AT76,Aerospatiale ATR-72-600
150,AT8T,Air Tractor AT-802
183,A337,AIRBUS A-330-700 Beluga XL
63,BCS1,Airbus A220-100
27,BCS3,Airbus A220-300
61,A306,Airbus A300F4-600
182,A310,Airbus A310
11,A319,Airbus A319
209,A319,Airbus A319
110,A19N,Airbus A319neo
1,A320,Airbus A320
210,A320,Airbus A320
212,A320S,Airbus A320 (sharklets)
211,A20N,Airbus A320 NEO
7,A20N,Airbus A320neo
3,A321,Airbus A321
213,A321,Airbus A321
214,A21N,Airbus A321 NEO
6,A21N,Airbus A321neo
34,A330,Airbus A330
20,A332,Airbus A330-200
215,A332,Airbus A330-200
14,A333,Airbus A330-300
216,A333,Airbus A330-300
117,A338,Airbus A330-800
35,A339,Airbus A330-900
73,A343,Airbus A340-300
165,A346,Airbus A340-600
218,A350,Airbus A350
45,A35K,Airbus A350-1000
12,A359,Airbus A350-900
217,A359,Airbus A350-900
220,A380,Airbus A380
26,A388,Airbus A380-800
219,A388,Airbus A380-800
226,ATR72,ATR 72-600
23,AT72,ATR ATR-72
49,B190,Beechcraft 1900
118,BE35,Beechcraft 35 Bonanza
112,BE55,Beechcraft 55 Baron
131,BE99,Beechcraft Airliner
68,BE58,Beechcraft Baron (58)
98,BE40,Beechcraft Beechjet
111,BE33,Beechcraft Bonanza (33)
75,BE36,Beechcraft Bonanza (36)
151,BE10,Beechcraft King Air 100
85,BE9L,Beechcraft King Air 90
176,PRM1,Beechcraft Premier 1
186,BE65,Beechcraft Queen Air (65)
39,BE20,Beechcraft Super King Air 200
62,B350,Beechcraft Super King Air 350
180,U21,Beechcraft Ute (U-21A/G)
58,B407,Bell 407
89,B06,Bell JetRanger
164,A139,BELL-AGUSTA AB-139
65,B712,Boeing 717-200
4,B38M,Boeing 737 MAX 8
203,B38M,Boeing 737 MAX 8
29,B39M,Boeing 737 MAX 9
71,B732,Boeing 737-200
97,B733,BOEING 737-300
106,B734,BOEING 737-400
31,B735,Boeing 737-500
82,B736,BOEING 737-600
15,B737,Boeing 737-700
201,B737-700WL,Boeing 737-700 (winglets)
2,B738,Boeing 737-800
202,B738,Boeing 737-800 (winglets)
16,B739,Boeing 737-900
36,B744,Boeing 747-400
38,B748,BOEING 747-8
30,B752,Boeing 757-200
124,B753,BOEING 757-300
142,B762,BOEING 767-200
17,B763,BOEING 767-300
204,B764,Boeing 767-400
74,B764,BOEING 767-400
22,B772,Boeing 777-200
205,B772,Boeing 777-200
21,B77L,BOEING 777-200LR
50,B773,BOEING 777-300
206,B77W,Boeing 777-300ER
8,B77W,BOEING 777-300ER
46,B78X,BOEING 787-10 Dreamliner
18,B788,Boeing 787-8
207,B788,Boeing 787-8
208,B789,Boeing 787-9
9,B789,Boeing 787-9 Dreamliner
101,MD11,Boeing MD-11
197,GL7T,BOMBARDIER BD-700 Global 7500
87,CL30,Bombardier Challenger 300
221,CRJ2,Bombardier CRJ-200
222,CRJX,Bombardier CRJ-X
147,GL5T,Bombardier Global 5000
126,GLEX,Bombardier Global Express
198,LJ75,Bombardier Learjet 75
114,CRJX,BOMBARDIER Regional Jet CRJ-1000
67,CL60,Canadair Challenger
60,CL35,Canadair Challenger 350
70,CRJ2,Canadair Regional Jet CRJ-200
32,CRJ7,Canadair Regional Jet CRJ-700
24,CRJ9,Canadair Regional Jet CRJ-900
56,C152,Cessna 152
167,C206,Cessna 206 Stationair
119,C310,Cessna 310
154,C340,Cessna 340
78,C402,Cessna 402
25,C208,Cessna Caravan
143,C177,Cessna Cardinal
152,C210,Cessna Centurion
