id,registration,first_seen,last_seen,times_seen,reason
308,EC-NIS,2025-02-10 10:45,2025-08-31 10:05,9,
527,EC-IEG,2025-02-12 11:37,2025-08-31 10:05,7,
582,EC-NLP,2025-02-14 02:24,2025-08-31 10:05,10,
685,HB-JVN,2025-05-09 09:05,2025-08-31 10:05,2,
68,EC-NZJ,2025-01-29T22:22:07Z,2025-08-31 09:50,4,
880,EC-LUL,2025-05-13 09:40,2025-08-31 09:50,2,
129,EC-KUB,2025-02-09 10:30,2025-08-31 09:45,15,
185,EC-NTI,2025-02-09 12:55,2025-08-31 09:45,26,
223,EC-NTP,2025-02-09 14:35,2025-08-31 09:45,17,
1002,EC-ONR,2025-05-14 09:40,2025-08-31 09:45,2,
1398,PH-BXN,2025-05-24 09:07,2025-08-31 09:45,2,
203,EC-NUD,2025-02-09 13:40,2025-08-31 09:40,16,
102,EC-LVD,2025-01-30T06:22:00Z,2025-08-31 09:25,19,
285,EC-MLO,2025-02-09 20:15,2025-08-31 09:25,10,
56,EC-IZR,2025-01-30T05:40:00Z,2025-08-31 09:20,15,
106,EC-NVS,2025-01-30T06:07:00Z,2025-08-31 09:20,12,
165,EC-MVZ,2025-02-09 10:15,2025-08-31 09:15,15,
1765,9H-WDG,2025-05-28 18:27,2025-08-31 09:15,2,
528,EC-MKV,2025-02-12 12:09,2025-08-31 09:10,4,
57,EC-MDK,2025-01-30T05:30:00Z,2025-08-31 09:00,17,
126,EC-ILQ,2025-02-09 10:25,2025-08-31 09:00,8,
339,EC-ILP,2025-02-10 12:50,2025-08-31 09:00,4,
2288,N808NW,2025-06-08 09:20,2025-08-31 09:00,2,
1852,LZ-FRA,2025-05-30 08:31,2025-08-31 08:55,2,
214,EC-LXQ,2025-02-09 14:15,2025-08-31 08:50,2,
164,EC-JLI,2025-02-09 10:15,2025-08-31 08:45,4,
122,EC-NFZ,2025-02-09 10:20,2025-08-31 08:40,3,
915,EC-LPN,2025-05-13 14:20,2025-08-31 08:40,2,
1149,D-AIEF,2025-05-15 12:05,2025-08-31 08:35,2,
763,EC-OLG,2025-05-10 09:40,2025-08-31 08:25,3,
1087,F-GZHA,2025-05-14 20:40,2025-08-31 08:25,2,
52,EC-LZJ,2025-01-29T22:44:00Z,2025-08-31 08:20,19,
995,N68061,2025-05-14 08:35,2025-08-31 08:20,2,
2338,N828AA,2025-06-09 14:08,2025-06-09 14:08,1,
