id,registration,first_seen,last_seen,times_seen,reason
3120,N736AT,2025-06-09 13:20,2025-06-09 13:20,1,
3117,TC-JNZ,2025-06-09 13:03,2025-06-09 13:03,1,
3119,G-SUNB,2025-06-09 13:00,2025-06-09 13:00,1,
3116,EI-DHX,2025-06-09 12:44,2025-06-09 12:44,1,
3115,CN-ROS,2025-06-09 12:35,2025-06-09 12:35,1,
3118,N77022,2025-06-09 12:09,2025-06-09 12:09,1,
3114,EC-OEI,2025-06-09 12:05,2025-06-09 12:05,1,
3111,LN-DYT,2025-06-09 11:41,2025-06-09 11:41,1,
3113,OE-ISE,2025-06-09 11:40,2025-06-09 11:40,1,
3110,G-LCAD,2025-06-09 11:15,2025-06-09 11:15,1,
3109,D-AIEH,2025-06-09 11:01,2025-06-09 11:01,1,
3112,G-UZHY,2025-06-09 10:45,2025-06-09 10:45,1,
3108,EI-IGY,2025-06-09 10:43,2025-06-09 10:43,1,
3107,SX-NAB,2025-06-09 10:40,2025-06-09 10:40,1,
3106,OE-ISE,2025-06-09 10:31,2025-06-09 10:31,1,
3105,G-GDFO,2025-06-09 10:10,2025-06-09 10:10,1,
3104,N885BP,2025-06-09 10:03,2025-06-09 10:03,1,
3103,G-UZHY,2025-06-09 09:51,2025-06-09 09:51,1,
3102,LY-MLG,2025-06-09 00:30,2025-06-09 00:30,1,
3101,HA-LXF,2025-06-08 21:00,2025-06-08 21:00,1,
3100,LY-FJI,2025-06-08 20:26,2025-06-08 20:26,1,
3099,PH-NXT,2025-06-08 20:04,2025-06-08 20:04,1,
3098,F-HTVA,2025-06-08 19:54,2025-06-08 19:54,1,
3097,9H-WZX,2025-06-08 19:36,2025-06-08 19:36,1,
3094,SE-RPK,2025-06-08 19:32,2025-06-08 19:32,1,
3096,EI-DCO,2025-06-08 19:25,2025-06-08 19:25,1,
3095,D-AGWI,2025-06-08 19:20,2025-06-08 19:20,1,
3093,PH-NXV,2025-06-08 18:50,2025-06-08 18:50,1,
3092,D-AGWI,2025-06-08 18:31,2025-06-08 18:31,1,
3091,EI-DCO,2025-06-08 18:31,2025-06-08 18:31,1,
3090,HL7771,2025-06-08 18:31,2025-06-08 18:31,1,
3089,9H-AHS,2025-06-08 17:46,2025-06-08 17:46,1,
3088,G-LCYS,2025-06-08 17:15,2025-06-08 17:15,1,
3087,9H-QBH,2025-06-08 16:49,2025-06-08 16:49,1,
3086,PH-AXD,2025-06-08 16:27,2025-06-08 16:27,1,
3085,G-LCYS,2025-06-08 16:10,2025-06-08 16:10,1,
3084,EI-HHS,2025-06-08 16:04,2025-06-08 16:04,1,
3083,SP-RZE,2025-06-08 16:01,2025-06-08 16:01,1,
3081,SU-GEE,2025-06-08 15:15,2025-06-08 15:15,1,
3080,F-GRHV,2025-06-08 14:49,2025-06-08 14:49,1,
3082,G-NEOX,2025-06-08 14:35,2025-06-08 14:35,1,
3079,N785UA,2025-06-08 14:20,2025-06-08 14:20,1,
3078,OO-SNI,2025-06-08 14:12,2025-06-08 14:12,1,
3077,EI-EMJ,2025-06-08 13:59,2025-06-08 13:59,1,
3075,N821NW,2025-06-08 13:17,2025-06-08 13:17,1,
3074,A6-EUC,2025-06-08 13:07,2025-06-08 13:07,1,
3072,D-AING,2025-06-08 12:56,2025-06-08 12:56,1,
3070,9K-API,2025-06-08 12:36,2025-06-08 12:36,1,
3076,OO-SSB,2025-06-08 12:35,2025-06-08 12:35,1,
3069,TC-RBB,2025-06-08 12:24,2025-06-08 12:24,1,
3071,SP-LVT,2025-06-08 12:20,2025-06-08 12:20,1,
3068,C-GUDO,2025-06-08 12:13,2025-06-08 12:13,1,
3073,C-GNVI,2025-06-08 11:59,2025-06-08 11:59,1,
3067,OO-SSB,2025-06-08 11:31,2025-06-08 11:31,1,
3061,G-EZTV,2025-06-08 11:08,2025-06-08 11:08,1,
3062,D-AIZQ,2025-06-08 11:05,2025-06-08 11:05,1,
3064,A6-BMJ,2025-06-08 11:04,2025-06-08 11:04,1,
3065,G-EZDR,2025-06-08 11:00,2025-06-08 11:00,1,
3066,TC-SOO,2025-06-08 11:00,2025-06-08 11:00,1,
3063,G-EZWA,2025-06-08 10:40,2025-06-08 10:40,1,
3060,EI-SIE,2025-06-08 10:36,2025-06-08 10:36,1,
3057,5B-DEF,2025-06-08 10:35,2025-06-08 10:35,1,
3058,G-EZBX,2025-06-08 10:28,2025-06-08 10:28,1,
3059,CS-TNV,2025-06-08 10:25,2025-06-08 10:25,1,
3055,EI-NSA,2025-06-08 10:08,2025-06-08 10:08,1,
3056,G-EZDR,2025-06-08 09:48,2025-06-08 09:48,1,
3054,N78005,2025-06-08 09:35,2025-06-08 09:35,1,
3052,TC-SOO,2025-06-08 09:29,2025-06-08 09:29,1,
3053,G-EZWA,2025-06-08 09:25,2025-06-08 09:25,1,
3051,OE-LZB,2025-06-08 09:21,2025-06-08 09:21,1,
3050,PH-EZD,2025-06-08 08:59,2025-06-08 08:59,1,
3049,LN-RGM,2025-06-08 08:53,2025-06-08 08:53,1,
3048,N827AN,2025-06-08 08:47,2025-06-08 08:47,1,
3047,HA-LXJ,2025-06-08 08:43,2025-06-08 08:43,1,
3046,9H-WDP,2025-06-08 08:34,2025-06-08 08:34,1,
3045,SP-RKN,2025-06-08 08:22,2025-06-08 08:22,1,
3044,N425DX,2025-06-08 08:13,2025-06-08 08:13,1,
3043,OK-SWC,2025-06-08 01:55,2025-06-08 01:55,1,
3042,G-EUUZ,2025-06-07 22:18,2025-06-07 22:18,1,
3041,EI-DEK,2025-06-07 22:11,2025-06-07 22:11,1,
3040,VP-BBE,2025-06-07 21:24,2025-06-07 21:24,1,
3036,9H-WDG,2025-06-07 20:30,2025-06-07 20:30,1,
3039,EI-HGY,2025-06-07 20:30,2025-06-07 20:30,1,
3038,SP-RNI,2025-06-07 20:25,2025-06-07 20:25,1,
3035,9H-VUF,2025-06-07 20:10,2025-06-07 20:10,1,
3037,PH-HSJ,2025-06-07 20:08,2025-06-07 20:08,1,
3034,EI-HGY,2025-06-07 19:55,2025-06-07 19:55,1,
3033,CS-TAX,2025-06-07 19:30,2025-06-07 19:30,1,
3032,CN-ROA,2025-06-07 19:07,2025-06-07 19:07,1,
3031,HB-JPD,2025-06-07 19:00,2025-06-07 19:00,1,
3030,A6-BNB,2025-06-07 18:56,2025-06-07 18:56,1,
3029,OE-LQQ,2025-06-07 18:02,2025-06-07 18:02,1,
3028,EI-IKC,2025-06-07 17:32,2025-06-07 17:32,1,
3026,EI-HHT,2025-06-07 17:30,2025-06-07 17:30,1,
3027,F-HUYR,2025-06-07 17:15,2025-06-07 17:15,1,
3024,OE-IJW,2025-06-07 17:04,2025-06-07 17:04,1,
3022,9H-NFT,2025-06-07 16:45,2025-06-07 16:45,1,
3020,9H-NFT,2025-06-07 16:42,2025-06-07 16:42,1,
3025,HZ-AR32,2025-06-07 16:40,2025-06-07 16:40,1,
3021,9H-WDA,2025-06-07 16:35,2025-06-07 16:35,1,
3018,EI-HHT,2025-06-07 16:30,2025-06-07 16:30,1,
3019,TC-JNP,2025-06-07 16:21,2025-06-07 16:21,1,
3017,OE-IJW,2025-06-07 16:05,2025-06-07 16:05,1,
3023,OO-SSX,2025-06-07 15:20,2025-06-07 15:20,1,
3016,SU-GEK,2025-06-07 15:15,2025-06-07 15:15,1,
3015,TF-FIK,2025-06-07 14:15,2025-06-07 14:15,1,
3014,D-AISI,2025-06-07 12:50,2025-06-07 12:50,1,
3013,C-GUBA,2025-06-07 12:41,2025-06-07 12:41,1,
3012,LN-FGG,2025-06-07 11:50,2025-06-07 11:50,1,
3011,SX-NAK,2025-06-07 10:56,2025-06-07 10:56,1,
3010,PT-MUF,2025-06-07 09:16,2025-06-07 09:16,1,
3009,N822AN,2025-06-07 09:10,2025-06-07 09:10,1,
3008,B-322Y,2025-06-07 08:45,2025-06-07 08:45,1,
3007,9H-LMT,2025-06-07 08:34,2025-06-07 08:34,1,
3006,PH-EXO,2025-06-07 08:33,2025-06-07 08:33,1,
3005,D-AIJN,2025-06-07 08:28,2025-06-07 08:28,1,
3004,9H-QEU,2025-06-07 08:12,2025-06-07 08:12,1,
3003,N405DX,2025-06-07 07:16,2025-06-07 07:16,1,
3002,N728AN,2025-06-07 06:45,2025-06-07 06:45,1,
3001,HA-LTA,2025-06-06 23:12,2025-06-06 23:12,1,
3000,G-UZLM,2025-06-06 23:01,2025-06-06 23:01,1,
2999,PH-BCL,2025-06-06 22:54,2025-06-06 22:54,1,
2998,SE-RTA,2025-06-06 20:19,2025-06-06 20:19,1,
2997,D-AIDA,2025-06-06 19:57,2025-06-06 19:57,1,
2996,OE-LBV,2025-06-06 19:55,2025-06-06 19:55,1,
2995,7T-VKC,2025-06-06 19:04,2025-06-06 19:04,1,
2994,9H-EWH,2025-06-06 18:53,2025-06-06 18:53,1,
2993,G-EUPS,2025-06-06 18:47,2025-06-06 18:47,1,
2992,SP-RZN,2025-06-06 18:46,2025-06-06 18:46,1,
2991,9H-GKJ,2025-06-06 17:30,2025-06-06 17:30,1,
2988,PH-BCE,2025-06-06 14:17,2025-06-06 14:17,1,
2987,YL-ABO,2025-06-06 14:05,2025-06-06 14:05,1,
2986,A6-EOO,2025-06-06 13:40,2025-06-06 13:40,1,
2990,D-AGWB,2025-06-06 13:14,2025-06-06 13:14,1,
2989,G-LCYR,2025-06-06 13:10,2025-06-06 13:10,1,
2985,D-AGWB,2025-06-06 12:35,2025-06-06 12:35,1,
2984,LN-ENS,2025-06-06 12:32,2025-06-06 12:32,1,
2983,SP-LVA,2025-06-06 12:29,2025-06-06 12:29,1,
2982,G-LCYL,2025-06-06 12:00,2025-06-06 12:00,1,
2981,OE-IBF,2025-06-06 10:15,2025-06-06 10:15,1,
2979,OE-IBF,2025-06-06 09:41,2025-06-06 09:41,1,
2980,9H-EXY,2025-06-06 09:25,2025-06-06 09:25,1,
2978,N838AA,2025-06-06 09:14,2025-06-06 09:14,1,
2977,CC-BGP,2025-06-06 09:11,2025-06-06 09:11,1,
2976,N206UA,2025-06-06 08:48,2025-06-06 08:48,1,
2975,B-302E,2025-06-06 08:47,2025-06-06 08:47,1,
2974,9H-EXY,2025-06-06 08:45,2025-06-06 08:45,1,
2973,B-308C,2025-06-06 08:41,2025-06-06 08:41,1,
2971,D-AIUZ,2025-06-06 08:13,2025-06-06 08:13,1,
2970,N436DX,2025-06-06 07:57,2025-06-06 07:57,1,
2972,OE-LQA,2025-06-06 07:40,2025-06-06 07:40,1,
2969,N883BM,2025-06-06 07:18,2025-06-06 07:18,1,
2968,9V-SMA,2025-06-06 07:14,2025-06-06 07:14,1,
2967,N725AN,2025-06-06 06:50,2025-06-06 06:50,1,
2966,N832MH,2025-06-06 05:55,2025-06-06 05:55,1,
2965,CS-TNM,2025-06-06 01:21,2025-06-06 01:21,1,
2964,EI-DCM,2025-06-05 22:56,2025-06-05 22:56,1,
2963,EI-IKO,2025-06-05 22:56,2025-06-05 22:56,1,
2962,EI-IHC,2025-06-05 22:45,2025-06-05 22:45,1,
2961,PH-BGH,2025-06-05 22:42,2025-06-05 22:42,1,
2960,TC-JZG,2025-06-05 22:42,2025-06-05 22:42,1,
2959,SE-RTD,2025-06-05 21:20,2025-06-05 21:20,1,
2958,SE-RTD,2025-06-05 20:42,2025-06-05 20:42,1,
2957,SE-RUE,2025-06-05 18:10,2025-06-05 18:10,1,
2956,F-GRXF,2025-06-05 16:21,2025-06-05 16:21,1,
2955,G-LCAE,2025-06-05 15:15,2025-06-05 15:15,1,
2954,G-LCYV,2025-06-05 15:05,2025-06-05 15:05,1,
2953,JY-AZC,2025-06-05 14:52,2025-06-05 14:52,1,
2952,9H-WZQ,2025-06-05 14:30,2025-06-05 14:30,1,
2951,G-LCAE,2025-06-05 14:16,2025-06-05 14:16,1,
